profile_url,likes,comments,timestamp,type,caption,url,shortcode,display_url,is_pinned
https://www.instagram.com/chhindwarasocial,254,1,2026-07-22T09:33:24.000Z,Video,"मौसम बदल सकता है, लेकिन हमारा संकल्प नहीं।

बारिश हो या तूफ़ान—हम न रुकने वाले हैं, न झुकने वाले हैं। जब तक पेपर लीक, छात्रों की मौतों और शिक्षा व्यवस्था की विफलताओं पर जवाबदेही तय नहीं होती, यह शांतिपूर्ण छात्र आंदोलन लगातार जारी रहेगा।

पानी बरसे या आँधी आए, हम छात्र प्रदर्शन स्थल से नहीं हटेंगे। यह लड़ाई किसी राजनीतिक दल की नहीं, बल्कि हर उस छात्र के भविष्य की है जो न्याय, पारदर्शिता और जवाबदेही चाहता है।

छात्र आंदोलन, जवाबदेही, शिक्षा व्यवस्था, पेपर लीक, छात्र न्याय, शांतिपूर्ण प्रदर्शन, छिंदवाड़ा छात्र आंदोलन

#StudentProtest #JusticeForStudents #AccountabilityNow #EducationReform #Chhindwara",https://www.instagram.com/p/DbFxrRdsjXF/,DbFxrRdsjXF,https://scontent-hou1-1.cdninstagram.com/v/t51.82787-15/753513332_17947679577252081_2435917267888643442_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=104&ig_cache_key=Mzk0Njc3OTEyNjQyODQ4MDk2NTE3OTQ3Njc5NTcxMjUyMDgx.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjEzMjAuc2RyLnZpZGVvX2RlZmF1bHRfY292ZXJfZnJhbWUuQzMifQ%3D%3D&_nc_ohc=pzxB1YT9jFAQ7kNvwEOvpEV&_nc_oc=AdrgS0rCVPtsGcrp33odMcdVJIOd8IgmJFXrptQmDVdLP6CbxQHd2C-LQ7uxmzdmvNlpIjgljt9u026x1Ig_0MOL&_nc_zt=23&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_gid=lSHPsjjU1lVogGM3Luqf5A&_nc_ss=7c689&oh=00_AQC-fGAVn04kXueRJhTqFHz25SH0kEJ8mEnTIuqDwZizKg&oe=6A665BB1,False
https://www.instagram.com/chhindwarasocial,857,53,2026-07-22T07:38:37.000Z,Video,"मुख्यमंत्री डॉ. मोहन यादव ने विधानसभा में जय श्री राम का नारा लगाकर कराया UCC बिल पास। बोले - “जो हिंदू हित की बात करेगा वही देश पर राज करेगा”

#Mp #UCC #cmmohanyadav",https://www.instagram.com/p/DbFkkAAptGf/,DbFkkAAptGf,https://scontent-atl3-3.cdninstagram.com/v/t51.82787-15/751439156_17947668147252081_205825337737068915_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=108&ig_cache_key=Mzk0NjcyMTQ1MjA0NjYwMjY1NTE3OTQ3NjY4MTQ0MjUyMDgx.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjEzMjAuc2RyLnZpZGVvX2RlZmF1bHRfY292ZXJfZnJhbWUuQzMifQ%3D%3D&_nc_ohc=kT-lB33EkVEQ7kNvwFcVH-z&_nc_oc=Adqf8F05W0n2GlEEEUw-BvWuGgPUnk1NlBi5KFm6AR79v4-aQHS1ZAXmFZbRe51I4i-cjFoNS1CdUiVhLf9rjuwY&_nc_zt=23&_nc_ht=scontent-atl3-3.cdninstagram.com&_nc_gid=DXi8TV67KW0l8N1S3jUh_w&_nc_ss=72689&oh=00_AQDm7S_4IfImN8bDKZf5x-eOpHToJUat0Zq7hB0tOSFGiw&oe=6A666894,False
https://www.instagram.com/chhindwarasocial,752,11,2026-07-21T17:38:22.000Z,Video,कांग्रेस नेता राहुल गांधी को दिल्ली में प्रदर्शन के दौरान हिरासत में लिए जाने के विरोध में छिंदवाड़ा में कांग्रेस कार्यकर्ताओं ने धरना-प्रदर्शन कर विरोध जताया। कांग्रेस कार्यकर्ताओं ने केंद्र सरकार के खिलाफ नारेबाजी करते हुए राहुल गांधी के समर्थन में आवाज बुलंद की।,https://www.instagram.com/p/DbEESvhJasW/,DbEESvhJasW,https://scontent-lga3-1.cdninstagram.com/v/t51.82787-15/751159597_17947580631252081_8950234110925423116_n.jpg?stp=dst-jpg_e35_p1080x1080_sh2.08_tt6&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2gFJSLlA44VnzSOOInzHxVcFBLluwVnoac7DARLD67lyndb2OTc-AYGp8mg-V3xmInU-g0sYDP4VR5lS4w8a3jIU&_nc_ohc=Vsv4biAbBXYQ7kNvwHVdS0u&_nc_gid=BOxZAtd-rrJrQAN2zVskRg&edm=ADp7STQBAAAA&ccb=7-5&oh=00_AQCPco9Hz-oLy1qCtLJpHdcRWNupR-vkGEnGiQICMa0ZRw&oe=6A667460&_nc_sid=c6f216,False
https://www.instagram.com/chhindwarasocial,3291,76,2026-07-21T16:50:38.000Z,Video,"हमें अपना विरोध स्थल छोड़ना पड़ा, क्योंकि श्री नकुलनाथ जी एवं कांग्रेस के अन्य पदाधिकारी राहुल गांधी जी के समर्थन में प्रदर्शन करने वहाँ आ रहे थे।

हम साफ करना चाहते हैं कि यह आंदोलन किसी राजनीतिक दल का आंदोलन नहीं है। यह छात्रों की आवाज़ है, छात्रों के भविष्य की लड़ाई है और शिक्षा व्यवस्था में जवाबदेही की मांग है।

इसी कारण हमने शांतिपूर्वक वहाँ से हटने का निर्णय लिया, ताकि हमारे आंदोलन को किसी राजनीतिक पार्टी से जोड़कर न देखा जाए। हमारा संघर्ष गैर-राजनीतिक, छात्र-नेतृत्व वाला और पूरी तरह शांतिपूर्ण है।

Keywords: छात्र आंदोलन, गैर-राजनीतिक प्रदर्शन, शांतिपूर्ण विरोध, शिक्षा व्यवस्था, छात्रों का भविष्य, छात्र एकता, Chhindwara Student Protest, Youth Protest, Education Reform, Students’ Rights

#StudentProtest #NonPoliticalMovement #StudentsUnity #EducationJustice #Chhindwara",https://www.instagram.com/p/DbD-8z2p_hV/,DbD-8z2p_hV,https://scontent-phl2-1.cdninstagram.com/v/t51.82787-15/752391739_17947573299252081_444667515345626798_n.jpg?stp=dst-jpg_e35_p1080x1080_sh2.08_tt6&_nc_ht=scontent-phl2-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2gHEfH2nOMp9BdzH3SM8i9td555X0m4nnKEOQ2NcPLjuPjr3RbKjdIm4maUKji11dqY&_nc_ohc=CTdKKNLBd88Q7kNvwEScsvM&_nc_gid=upCm97kQ2Gni3spjd_XGmg&edm=ADp7STQBAAAA&ccb=7-5&oh=00_AQCZnSSfCetlUCXG7zI1AVhVAjT89xzOCCJqrSJFWtHSZA&oe=6A6671EE&_nc_sid=c6f216,False
https://www.instagram.com/chhindwarasocial,997,2,2026-07-21T16:42:35.000Z,Video,"दिल्ली में राहुल गांधी और अन्य कांग्रेस नेताओं ने छात्रों से जुड़े मुद्दों को लेकर प्रदर्शन किया था, जहां राहुल गांधी को पुलिस ने हिरासत में लिया। इसके बाद देश के विभिन्न हिस्सों में कांग्रेस कार्यकर्ताओं द्वारा विरोध प्रदर्शन किए जा रहे हैं।

Follow @chhindwarasocial 

#congress #rahulgandhi #chhindwara #bjp #protest",https://www.instagram.com/p/DbD9_Hqpjb5/,DbD9_Hqpjb5,https://scontent-atl3-1.cdninstagram.com/v/t51.82787-15/753224999_17947572090252081_6410962607828642389_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=100&ig_cache_key=Mzk0NjI3MDMxNjkwMjYyNzA2NTE3OTQ3NTcyMDg3MjUyMDgx.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjcyMC5zZHIudmlkZW9fZGVmYXVsdF9jb3Zlcl9mcmFtZS5DMyJ9&_nc_ohc=phxBU-tkkykQ7kNvwFzadcr&_nc_oc=Adqckb_k8BSXH7G7TsRYAGzbVA2rq_KpphAfBku6ZJH2cfsWYMkFf2gZAGOvNZ8-VJ8&_nc_zt=23&_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_gid=dbDmXUCC2c3qHXRnUCzodw&_nc_ss=7c289&oh=00_AQBTB7TMR81PdronVPLcHuFS-JemPdhF9udVmUZKjbAVGA&oe=6A667807,False
https://www.instagram.com/chhindwarasocial,4829,55,2026-07-21T16:36:32.000Z,Video,"कांग्रेस नेता राहुल गांधी को दिल्ली में प्रदर्शन के दौरान हिरासत में लिए जाने के विरोध में छिंदवाड़ा में कांग्रेस कार्यकर्ताओं ने धरना-प्रदर्शन कर विरोध जताया। कांग्रेस कार्यकर्ताओं ने केंद्र सरकार के खिलाफ नारेबाजी करते हुए राहुल गांधी के समर्थन में आवाज बुलंद की।

दिल्ली में राहुल गांधी और अन्य कांग्रेस नेताओं ने छात्रों से जुड़े मुद्दों को लेकर प्रदर्शन किया था, जहां राहुल गांधी को पुलिस ने हिरासत में लिया। इसके बाद देश के विभिन्न हिस्सों में कांग्रेस कार्यकर्ताओं द्वारा विरोध प्रदर्शन किए जा रहे हैं। 

Follow @chhindwarasocial 

#protest #congress #bjp #trending #reels",https://www.instagram.com/p/DbD9NUIpUu1/,DbD9NUIpUu1,https://scontent-phl2-1.cdninstagram.com/v/t51.82787-15/751939754_17947570821252081_7677988773692757194_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=111&ig_cache_key=Mzk0NjI2Njg5NDMxNjk0ODQwNTE3OTQ3NTcwODE4MjUyMDgx.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjcyMC5zZHIudmlkZW9fZGVmYXVsdF9jb3Zlcl9mcmFtZS5DMyJ9&_nc_ohc=uMyXFt_fb6gQ7kNvwEdaBpe&_nc_oc=Adrr9r-WITeLtecxwxDrCLGVtZq4XJf0Iqpe_Jh0H8VIpxH4Tf9cGsJ-hj0K1j7IgN8&_nc_zt=23&_nc_ht=scontent-phl2-1.cdninstagram.com&_nc_gid=0Jioo9XG6HI2gytCUyuYgg&_nc_ss=7c689&oh=00_AQBueHL71x7CCTS0cZR4V5aAvD03oNyUST09jZoytPFGnQ&oe=6A664CE8,False
https://www.instagram.com/chhindwarasocial,2207,7,2026-07-21T14:25:11.000Z,Video,"छिंदवाड़ा में भुट्टे ने किसानों के साथ-साथ बेरोजगारों की भी बदली तकदीर, चौक-चौराहों पर सजी भुट्टे बेचने वालों की दुकानें. स्वीट कॉर्न की जमकर डिमांड.

बीसापुर की रहने वाली मनीषा कहार घर के काम करने के बाद बेरोजगार ही रहा करती थीं, फिर उसने हाईवे के किनारे चौक पर भुट्टे की दुकान लगाना शुरू किया. अब इसी दुकान से डेढ़ से 2 लाख रुपए महीने की कमाई करती हैं.

कॉर्न सिटी का तमगा छिंदवाड़ा को यूं ही हासिल नहीं हुआ है, मक्के की खेती करके यहां का किसान ही मालामाल नहीं हो रहा है बल्कि बेरोजगारों के लिए रोजगार का भी जरिया बन चुका है. छिंदवाड़ा शहर के आसपास चौक और चौराहों पर इन दिनों भुट्टे बेचने वालों की दुकानें सजी हैं.

#chhindwarasocial #chhindwara #bhutta #corn #motivation",https://www.instagram.com/p/DbDuTpuMDVV/,DbDuTpuMDVV,https://scontent-msp1-1.cdninstagram.com/v/t51.82787-15/753329182_17947552503252081_2302484085114597201_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=103&ig_cache_key=Mzk0NjIwMTM1OTExNDU4MTMzMzE3OTQ3NTUyNTAwMjUyMDgx.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjEzMjAuc2RyLnZpZGVvX2RlZmF1bHRfY292ZXJfZnJhbWUuQzMifQ%3D%3D&_nc_ohc=RTOF724zGt4Q7kNvwGPBDWw&_nc_oc=AdpaY633os2gI9QBs9Sz924V0LOL3bz_8KhjNfW8eQa0JT4pwDirPMZEXGkSFz0KbBI&_nc_zt=23&_nc_ht=scontent-msp1-1.cdninstagram.com&_nc_gid=NpzqTbf7HKIDs0TfEUbB3g&_nc_ss=7ca8c&oh=00_AQCOJ3z_K6KO0WbmS7VrOShdbX9mODObAwCC_R-yaGXIbg&oe=6A667C5D,False
https://www.instagram.com/chhindwarasocial,1312,6,2026-07-21T13:19:03.000Z,Video,"छिंदवाड़ा के खजरी रोड स्थित हरे माधव के सामने एक सड़क हादसा सामने आया है। बताया जा रहा है कि अज्ञात वाहन ने सड़क पर स्कॉर्पियो को टक्कर मार दी और घटना के बाद मौके से फरार हो गया। हादसे में स्कॉर्पियो क्षतिग्रस्त हुई है।

Follow @chhindwarasocial 

#chhindwarasocial #chhindwara #viral #trending #chhindwaracity",https://www.instagram.com/p/DbDmpqrsQxD/,DbDmpqrsQxD,https://scontent-atl3-1.cdninstagram.com/v/t51.82787-15/753231549_17947543188252081_5240325994633588198_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=100&ig_cache_key=Mzk0NjE2NzY4NzYwMjgzNDQ5OTE3OTQ3NTQzMTgyMjUyMDgx.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjEzMjAuc2RyLnZpZGVvX2RlZmF1bHRfY292ZXJfZnJhbWUuQzMifQ%3D%3D&_nc_ohc=87XabU-0ELoQ7kNvwGyzQl-&_nc_oc=AdohBtGuYOqtwwa4_78pKTSO6vr2_-6NZun5xQyOKm8XjJvwieLdAqpYipGc-z_-_c0&_nc_zt=23&_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_gid=XS6oK4yc2gCWK9_XPD5FWg&_nc_ss=72689&oh=00_AQBj_V7seOTYrUl8_IooD_-WkTlqjOTYH1sVr56Ux8rUUw&oe=6A6678F9,False
https://www.instagram.com/chhindwarasocial,9917,86,2026-07-21T11:50:39.000Z,Video,"देश की राजधानी दिल्ली के जंतर-मंतर पर जारी प्रदर्शन में अब छिंदवाड़ा के युवा भी शामिल होने पहुंचे। अपनी मांगों और युवाओं की आवाज को मजबूती देने के लिए छिंदवाड़ा से दिल्ली पहुंचे युवाओं ने आंदोलन में अपनी भागीदारी दर्ज कराई।

छिंदवाड़ा से दिल्ली तक—अपने हक और आवाज के लिए मैदान में युवा!

Credits @harshhcreation 

#jantarmantar #protest #sonamwanchuk #chhindwara #educationminister",https://www.instagram.com/p/DbDcgDypGor/,DbDcgDypGor,https://scontent-atl3-3.cdninstagram.com/v/t51.82787-15/750816335_17947530075252081_2373073282936830150_n.jpg?stp=dst-jpg_e35_p1080x1080_sh2.08_tt6&_nc_ht=scontent-atl3-3.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2gGybQkocJEP5x3sHOq_hs1zBk41mYhSzWLl-JROaCTKC5GDGTK2PtyWdysGV5Svmbk&_nc_ohc=A9w2D0Nl-3gQ7kNvwHE9-JJ&_nc_gid=OqCb5upRhldtlPWLh0uhTA&edm=ADp7STQBAAAA&ccb=7-5&oh=00_AQB3UJvv51TQuTzp7KiyfjJoLz7l2tG7QgACL7kP0Tel6Q&oe=6A665DB2&_nc_sid=c6f216,False
https://www.instagram.com/chhindwarasocial,14024,103,2026-07-21T10:29:07.000Z,Video,"दिल्ली के जंतर-मंतर पर गूंजी छिंदवाड़ा के युवाओं की आवाज

देश की राजधानी दिल्ली के जंतर-मंतर पर जारी प्रदर्शन में अब छिंदवाड़ा के युवा भी शामिल होने पहुंचे। अपनी मांगों और युवाओं की आवाज को मजबूती देने के लिए छिंदवाड़ा से दिल्ली पहुंचे युवाओं ने आंदोलन में अपनी भागीदारी दर्ज कराई।

छिंदवाड़ा से दिल्ली तक—अपने हक और आवाज के लिए मैदान में युवा!

Credits @harshhcreation 

#jantarmantar #protest #sonamwanchuk #chhindwara #educationminister",https://www.instagram.com/p/DbDTFXTJ-tj/,DbDTFXTJ-tj,https://scontent-phl2-1.cdninstagram.com/v/t51.82787-15/753362069_17947520718252081_1262179440782985257_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=110&ig_cache_key=Mzk0NjA4MTYzMDAwNTIyNjMzOTE3OTQ3NTIwNzE1MjUyMDgx.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjcyMC5zZHIudmlkZW9fZGVmYXVsdF9jb3Zlcl9mcmFtZS5DMyJ9&_nc_ohc=m1MfaZxV-KAQ7kNvwHL5ruX&_nc_oc=AdqYjWBLxxWjVIDQn5yKZxEYX6RBJ-P7oTnclR14xyJogtBGYTd4u1LGmQq7GwlZtsk&_nc_zt=23&_nc_ht=scontent-phl2-1.cdninstagram.com&_nc_gid=PK_QNOzB8RSiRdAaXz9-Gw&_nc_ss=73689&oh=00_AQA91sIyZ6YU0Gl5FOslvnpyRSSA0KIfia7ueZ0hdUXc8w&oe=6A665DD7,False
